Organization Name,Headquarters Location,Operating Status,Company Type,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Lead Investors,Number of Investors,Industry Groups,Industries,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Events,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Visit Duration,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Principales inversionistas
Wonderschool,"San Francisco, California, United States",Active,For Profit,,,,,5,31,"Community and Lifestyle, Education, Health Care, Software","Child Care, EdTech, Education, Parenting, Primary Education",8,Early Stage Venture,1/11/2022,25000000,USD,25000000,Series B,Series B,25000000,USD,25000000,49100000,USD,49100000,,82.837,"48,447.33",136,,,,"Citi, Andreessen Horowitz, Gaingels, Goldman Sachs, FundersClub"
Uber,"San Francisco, California, United States",Active,For Profit,22,8,2,5,20,116,"Apps, Mobile, Software, Transportation","Logistics, Mobile Apps, Public Transportation, Ride Sharing, Transportation",33,IPO,9/14/2020,500000000,USD,500000000,Post-IPO Debt,Post-IPO Equity,500000000,USD,500000000,25212450000,USD,25212450000,75,"185,852,756","97,570,601.33",553,882646852,USD,882646852,"Tencent, Techstars, Citi, Uber, Sequoia Capital"
Wayflyer,"Dublin, Dublin, Ireland",Active,,,,,,3,16,"Commerce and Shopping, Data and Analytics, Financial Services","Analytics, E-Commerce, Finance",5,Early Stage Venture,2/1/2022,150000000,USD,150000000,Series B,Series B,150000000,USD,150000000,336200000,USD,336200000,,43.635,"27,099.67",465,,,,"JP Morgan, QED Investors, Prosus Ventures, Anatoly Yakovenko, Speedinvest"
Stockal,"New York, New York, United States",Active,For Profit,,,,,6,21,"Data and Analytics, Financial Services, Lending and Investments","Analytics, Big Data, Finance, FinTech, Stock Exchanges, Trading Platform",6,Early Stage Venture,4/14/2022,685000000,INR,8995225,Series A,Series A,685000000,INR,8995225,14795225,USD,14795225,,78.933,"37,368.17",710,,,,"Kristal.AI, Hashed, HDFC Bank, trica, Cadenza Capital Management"
Sequoia Capital,"Menlo Park, California, United States",Active,,1.676,624,190,347,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,55,227.378,"215,037.83",315,3727262,USD,3727262,
Securitize,"San Francisco, California, United States",Active,For Profit,,,,,3,34,"Financial Services, Information Technology, Other, Payments, Software","Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Information Technology",9,Early Stage Venture,6/21/2021,48000000,USD,48000000,Series B,Series B,48000000,USD,48000000,100200000,USD,100200000,,58.688,53.434,137,,,,"Blockchain Capital, Ava Labs, Ripple, Coinbase Ventures, Ripio"
Somatus,"Mclean, Virginia, United States",Active,For Profit,,,,,5,13,Health Care,"Health Care, Health Diagnostics, Hospital, Medical, Wellness",5,Late Stage Venture,2/22/2022,325000000,USD,325000000,Series E,Series E,325000000,USD,325000000,465120000,USD,465120000,,5.765,"10,827.67",19,,,,"Fidelity Management and Research Company, RA Capital Management, GIC, Optum Ventures, Anthem"
Trell,"Bangalore City, Karnataka, India",Active,For Profit,1,,,,10,35,"Commerce and Shopping, Community and Lifestyle, Internet Services, Media and Entertainment, Video","E-Commerce, E-Commerce Platforms, Lifestyle, Social Network, Video",8,Early Stage Venture,7/12/2021,3350000000,INR,44941137,Series B,Series B,3350000000,INR,44941137,61891137,USD,61891137,,,,,,,,"Sequoia Capital India, Surge, Samsung Ventures, BEENEXT, Bossa Nova Investimentos"
WinZO,"New Delhi, Delhi, India",Active,For Profit,2,,,,5,14,"Gaming, Media and Entertainment, Sports","Digital Entertainment, eSports, Gaming, Media and Entertainment, Online Games",6,Late Stage Venture,7/2/2021,65000000,USD,65000000,Series C,Series C,65000000,USD,65000000,110500000,USD,110500000,,"1,491,983","1,251,670.33",471,,,,"Kalaari Capital, Makers Fund, Griffin Gaming Partners, Courtside Ventures, Hike"
Stax,"Orlando, Florida, United States",Active,For Profit,,,,,2,10,"Financial Services, Mobile, Payments, Software","Financial Services, Mobile Payments, Payments, Software, Transaction Processing",5,Late Stage Venture,3/8/2022,245000000,USD,245000000,Series D,Series D,245000000,USD,245000000,263250000,USD,263250000,,92.822,"107,009.67",359,,,,"HarbourVest Partners, venVelo, DeepWork Capital, Fulcrum Equity Partners, Greater Sum Ventures"
SamCart,"Austin, Texas, United States",Active,For Profit,,,,,2,5,"Commerce and Shopping, Internet Services, Media and Entertainment, Other","Content Creators, E-Commerce, E-Commerce Platforms, Subscription Service",3,Early Stage Venture,4/7/2022,82000000,USD,82000000,Series B,Series B,82000000,USD,82000000,95000000,USD,95000000,,"2,745,658","2,697,210.67",1.529,,,,"Fin Venture Capital, TTV Capital, Eldridge, George Kaiser Family Foundation, eGateway Capital"
Voyager,"Jersey City, New Jersey, United States",Active,For Profit,3,1,,1,1,3,"Financial Services, Information Technology, Payments, Software","Cryptocurrency, Financial Services, FinTech, Information Technology",4,IPO,2/12/2021,100000000,USD,100000000,Post-IPO Equity,Post-IPO Equity,100000000,USD,100000000,100110545,USD,100110545,,"1,872,939","706,437.5",559,,,,"Streamlined Ventures, Moving Capital, Stifel Financial"
Snapdeal,"Gurgaon, Haryana, India",Active,For Profit,9,7,,5,15,26,"Commerce and Shopping, Internet Services","E-Commerce, Internet, Retail, Shopping",14,,7/23/2019,,,,Venture - Series Unknown,Venture - Series Unknown,,,,1776260825,USD,1776260825,1,"10,795,666","19,683,386.33",390,,,,"Alibaba Group, Kalaari Capital, BlackRock, Temasek Holdings, Foxconn Technology Group"
Silverfort,"Tel Aviv, Tel Aviv, Israel",Active,For Profit,,,,,4,11,"Information Technology, Privacy and Security, Software","Cyber Security, Enterprise Software, Identity Management, Network Security",7,Late Stage Venture,4/12/2022,65000000,USD,65000000,Series C,Series C,65000000,USD,65000000,106500000,USD,106500000,4,14.064,"12,609.67",14,,,,"SixThirty, Singtel Innov8, StageOne Ventures, TLV Partners, Aspect Ventures"
Trinity Capital,"Phoenix, Arizona, United States",Active,,83,8,12,34,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",1,IPO,4/5/2022,50000000,USD,50000000,Post-IPO Equity,Post-IPO Equity,50000000,USD,50000000,50000000,USD,50000000,1,8.09,,35,,,,
Sendoso,"San Francisco, California, United States",Active,For Profit,,,,,4,11,"Information Technology, Other, Sales and Marketing, Software","B2B, Direct Sales, Marketing Automation, SaaS, Sales Automation",5,Late Stage Venture,9/14/2021,100000000,USD,100000000,Series C,Series C,100000000,USD,100000000,152700000,USD,152700000,6,178.69,"90,570.67",75,204070,USD,204070,"SoftBank Vision Fund, Craft Ventures, Oak HC/FT, Hack VC, Storm Ventures"
waresix,"Jakarta, Jakarta Raya, Indonesia",Active,For Profit,,,,,6,13,"Commerce and Shopping, Transportation","E-Commerce, Freight Service, Logistics, Supply Chain Management, Transportation, Warehousing",8,Early Stage Venture,4/12/2022,50000000,USD,50000000,Series B,Series B,50000000,USD,50000000,179000000,USD,179000000,,3.116,"3,381.67",219,,,,"Monkâ€™s Hill Ventures, MDI Ventures, Tiger Global Management, Temasek Holdings, Emtek Group"
Tomo,"Stamford, Connecticut, United States",Active,For Profit,,,,,4,12,Financial Services,"Finance, Financial Services, FinTech",4,Early Stage Venture,3/21/2022,40000000,USD,40000000,Series A,Series A,40000000,USD,40000000,110000000,USD,110000000,,22.929,"11,012.17",355,,,,"SVB Capital, Ribbit Capital, NFX, Zigg Capital, DST Global"
Welcome Tech,"Los Angeles, California, United States",Active,For Profit,,,,,4,12,"Community and Lifestyle, Data and Analytics, Design, Financial Services, Health Care, Lending and Investments","Banking, Communities, Financial Services, Health Care, Market Research",6,,4/14/2022,30000000,USD,30000000,Venture - Series Unknown,Venture - Series Unknown,30000000,USD,30000000,73000000,USD,73000000,,23.857,,0,,,,"SB Opportunity Fund, TTV Capital, Owl Ventures, Crosscut Ventures, Next Play Capital"
Sorare,"Paris, Ile-de-France, France",Active,For Profit,,,,,5,35,"Financial Services, Gaming, Other, Payments, Software, Sports","Blockchain, Cryptocurrency, Fantasy Sports, Gaming, Soccer",4,Early Stage Venture,9/20/2021,680000000,USD,680000000,Series B,Series B,680000000,USD,680000000,739245791,USD,739245791,,"12,513,505","3,677,607",626,,,,"SoftBank, Eurazeo, Seedcamp, Headline, Accel"
Traveloka,"Jakarta, Jakarta Raya, Indonesia",Active,For Profit,6,3,,,5,9,"Data and Analytics, Internet Services, Media and Entertainment, Travel and Tourism","Big Data, In-Flight Entertainment, Search Engine, Travel",6,,7/28/2020,250000000,USD,250000000,Venture - Series Unknown,Venture - Series Unknown,250000000,USD,250000000,1170000000,USD,1170000000,,"21,515,727","14,080,751.33",480,,,,"Sequoia Capital, Hillhouse Capital Group, JD.com, Global Founders Capital, East Ventures"
TrueLayer,"London, England, United Kingdom",Active,For Profit,1,,,,7,24,"Financial Services, Lending and Investments, Software","Banking, Developer Tools, Financial Services, FinTech",8,Late Stage Venture,9/21/2021,94950000,GBP,129684591,Series E,Series E,94950000,GBP,129684591,271484591,USD,271484591,4,"1,160,806","467,061.17",197,32276994,USD,32276994,"Tencent, Stripe, Tiger Global Management, Anthemis Group, Temasek Holdings"
Triple Whale,"Jerusalem, Yerushalayim, Israel",Active,For Profit,,,,,2,3,"Apps, Commerce and Shopping, Data and Analytics, Design, Information Technology, Software","Apps, Data Integration, Data Visualization, E-Commerce",2,Early Stage Venture,3/24/2022,24000000,USD,24000000,Series A,Series A,24000000,USD,24000000,27700000,USD,27700000,,135.413,"62,440.5",316,,,,"Elephant, NFX, Shaan Puri"
Worldcoin,"Berlin, Berlin, Germany",Active,,,,,,,19,"Financial Services, Payments, Software",Cryptocurrency,2,,3/23/2022,100000000,USD,100000000,Undisclosed,Undisclosed,100000000,USD,100000000,125000000,USD,125000000,,54.14,"45,787.33",10,,,,"Digital Currency Group, Andreessen Horowitz, Hashed, Coinbase Ventures, Fifty Years"
Shippo,"San Francisco, California, United States",Active,For Profit,1,,,,4,20,"Commerce and Shopping, Other, Software, Transportation","B2B, E-Commerce, Logistics, Software, Supply Chain Management",10,,12/1/2021,,,,Venture - Series Unknown,Venture - Series Unknown,,,,154275000,USD,154275000,3,"1,999,999","2,338,430.33",532,1103079,USD,1103079,"500 Startups, FundersClub, Union Square Ventures, BoxGroup, Slow Ventures"
Umba,"San Francisco, California, United States",Active,For Profit,,,,,1,17,"Apps, Financial Services, Lending and Investments, Mobile, Other, Software","Emerging Markets, Financial Services, FinTech, Micro Lending, Mobile Apps",4,Early Stage Venture,4/13/2022,15000000,USD,15000000,Series A,Series A,15000000,USD,15000000,17000000,USD,17000000,,18.311,"5,303.33",1.759,,,,"Lux Capital, mymobiles price, Palm Drive Capital, Bossa Nova Investimentos, Streamlined Ventures"
SpotOn,"San Francisco, California, United States",Active,For Profit,,,,,4,13,"Financial Services, Information Technology, Mobile, Payments, Sales and Marketing, Software","Mobile Payments, Payments, Sales Automation, Software",7,Late Stage Venture,9/13/2021,300000000,USD,300000000,Series E,Series E,300000000,USD,300000000,628000000,USD,628000000,2,"1,075,297","990,911.17",382,98952,USD,98952,"Andreessen Horowitz, Mubadala, Coatue, Franklin Templeton Investments, Wellington Management"
Spring Health,"New York, New York, United States",Active,For Profit,,,,,5,22,"Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence, Health Care, Machine Learning, Outpatient Care",7,,3/1/2022,,,,Venture - Series Unknown,Venture - Series Unknown,,,,295500000,USD,295500000,,119.203,"69,882.67",1.657,,,,"Tiger Global Management, RRE Ventures, Operator Partners, Northzone, AlleyCorp"
Tinder,"West Hollywood, California, United States",Active,For Profit,1,,1,,2,2,"Community and Lifestyle, Internet Services, Media and Entertainment, Mobile","Dating, Mobile, Search Engine, Social Media",3,,10/10/2017,,,,Undisclosed,Undisclosed,,,,50000000,USD,50000000,7,"176,145,141","62,020,858.67",1.589,,,,"Benchmark, IAC"
Zilch,"London, England, United Kingdom",Active,For Profit,,,,,4,6,"Financial Services, Lending and Investments, Payments","Banking, Financial Services, FinTech, Payments",5,Late Stage Venture,11/10/2021,95000000,EUR,109116010,Series C,Series C,95000000,EUR,109116010,339343574,USD,339343574,,584.195,"254,578.17",119,,,,"Goldman Sachs Asset Management, Ventura Capital, dmg ventures, Gauss Ventures, M&F Fund"
WonderFi,"Vancouver, British Columbia, Canada",Active,For Profit,1,1,,1,5,10,"Financial Services, Information Technology, Other, Payments, Software","Bitcoin, Blockchain, Ethereum, Finance, Information Technology, Software",5,IPO,10/26/2021,26400000,CAD,21304531,Post-IPO Debt,Series A,5600000,USD,5600000,49086002,USD,49086002,,39.865,"23,995.33",426,,,,"Argo Blockchain, Alameda Research, Animal Capital, Canaccord Genuity Group, Josh Richards"
WorkRamp,"San Carlos, California, United States",Active,For Profit,,,,,5,18,"Education, Software","Corporate Training, E-Learning, Enterprise Software, SaaS",5,Late Stage Venture,3/23/2022,40000000,USD,40000000,Series C,Series C,40000000,USD,40000000,67200000,USD,67200000,1,177.301,"198,659.83",1.432,,,,"Y Combinator, Liquid 2 Ventures, Initialized Capital, OMERS Ventures, Elad Gil"
Tractable,"London, England, United Kingdom",Active,For Profit,,,,,6,17,"Artificial Intelligence, Data and Analytics, Financial Services, Hardware, Science and Engineering, Software","Artificial Intelligence, Computer Vision, Insurance, Machine Learning, Software",8,Late Stage Venture,6/16/2021,60000000,USD,60000000,Series D,Series D,60000000,USD,60000000,119900000,USD,119900000,13,9.362,"11,019.67",106,8833351,USD,8833351,"Entrepreneur First, Insight Partners, Acequia Capital (AceCap), Plug and Play Tech Center, Zetta Venture Partners"
ServiceTitan,"Glendale, California, United States",Active,For Profit,,,,,7,16,"Information Technology, Real Estate, Sales and Marketing, Software","CRM, Home Services, Information Technology, SaaS, Software",8,Late Stage Venture,6/30/2021,200000000,USD,200000000,Series G,Series G,200000000,USD,200000000,1099777129,USD,1099777129,1,"1,894,350","2,261,456",1.597,2106004,USD,2106004,"Tiger Global Management, T. Rowe Price, Index Ventures, Bessemer Venture Partners, Thoma Bravo"
Yuga Labs,"Miami, Florida, United States",Active,For Profit,,,,,1,36,"Financial Services, Media and Entertainment, Other, Payments, Software","Blockchain, Cryptocurrency, Digital Media, Ethereum",1,Seed,3/22/2022,450000000,USD,450000000,Seed,Seed,450000000,USD,450000000,450000000,USD,450000000,,18.457,"772,317.5",4,,,,"MoonPay, Genies, Animoca Brands, Coinbase, Samsung Electronics"
Voyager Innovations,"Mandaluyong, Cavite, Philippines",Active,For Profit,,,,,5,11,"Financial Services, Lending and Investments, Payments","Banking, Financial Services, Payments",5,Private Equity,4/12/2022,210000000,USD,210000000,Convertible Note,Private Equity,167000000,USD,167000000,712000000,USD,712000000,,"1,738,525","2,543,771.83",374,,,,"IFC Financial Institutions Growth Fund, IFC Emerging Asia Fund, Tencent, Susquehanna International Group (SIG), PLDT"
TransUnion,"Chicago, Illinois, United States",Active,For Profit,11,7,3,2,,2,"Financial Services, Information Technology, Professional Services","Credit Bureau, Financial Services, Information Technology, Legal",3,M&A,4/26/2018,1400000000,USD,1400000000,Post-IPO Debt,Venture - Series Unknown,7250806,USD,7250806,1407250806,USD,1407250806,14,"8,176,569","5,966,295.17",554,215261553,USD,215261553,"QED Investors, Mangrove Capital Partners"
Socure,"Incline Village, Nevada, United States",Active,For Profit,,,,,8,30,"Artificial Intelligence, Data and Analytics, Information Technology, Privacy and Security, Software","Cyber Security, Identity Management, Machine Learning, Predictive Analytics",14,Late Stage Venture,11/9/2021,450000000,USD,450000000,Series E,Series E,450000000,USD,450000000,646900000,USD,646900000,16,378.506,"79,942.67",311,120927,USD,120927,"Tiger Global Management, T. Rowe Price, Accel, Founder Collective, Two Sigma Ventures"
Viz,"San Francisco, California, United States",Active,For Profit,,,,,8,16,"Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence, Health Care, Health Diagnostics, Machine Learning, Medical Device",7,Late Stage Venture,4/7/2022,100000000,USD,100000000,Series D,Series D,100000000,USD,100000000,251550000,USD,251550000,2,42.959,"20,568.67",78,,,,"Seedcamp, Insight Partners, GV, Tiger Global Management, Scale Venture Partners"
Typeform,"Barcelona, Catalonia, Spain",Active,For Profit,,,,,5,15,"Data and Analytics, Design, Software","Consumer Research, SaaS, Software, UX Design",5,Late Stage Venture,3/10/2022,135000000,USD,135000000,Series C,Series C,135000000,USD,135000000,187263316,USD,187263316,7,"44,145,802","32,619,155.5",427,4253342,USD,4253342,"Index Ventures, General Atlantic, Sofina, Point Nine, Top Tier Capital Partners"
Socotra,"San Francisco, California, United States",Active,For Profit,,,,,4,17,"Financial Services, Information Technology, Software","Enterprise Software, Financial Services, Information Technology, Insurance, InsurTech, Software",6,Late Stage Venture,3/14/2022,50000000,USD,50000000,Series C,Series C,50000000,USD,50000000,93900000,USD,93900000,5,12.813,24.983,562,170829,USD,170829,"8VC, Insight Partners, Founders Fund, Caffeinated Capital, Vulcan Capital"
